travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,2,0.20428787499986356,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,2,0.18442162499559345,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,tensor_based_rpq,1,2,0.17540212500171037,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,tensor_based_rpq,1,2,0.17727766600000905,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,tensor_based_rpq,1,2,0.17568208299780963,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,ms_bfs_based_rpq,1,2,0.3189522499960731,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,ms_bfs_based_rpq,1,2,0.21747912499995437,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,ms_bfs_based_rpq,1,2,0.31836154100165004,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,ms_bfs_based_rpq,1,2,0.21814866699423874,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,tensor_based_rpq,1,2,0.1748843340028543,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,tensor_based_rpq,1,2,0.17453670800023247,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,tensor_based_rpq,1,2,0.17504187500162516,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,tensor_based_rpq,1,2,0.17448379199777264,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,ms_bfs_based_rpq,1,2,0.3276205000001937,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,ms_bfs_based_rpq,1,2,0.22348649999912595,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,ms_bfs_based_rpq,1,2,0.3298735409989604,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,ms_bfs_based_rpq,1,2,0.22473462500056485,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,3,0.17400979199737776,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,3,0.17490854200150352,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,3,0.17529391699645203,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,3,0.17556591700122226,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,3,0.3396116669973708,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,3,0.23596437499509193,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,3,0.3380069589984487,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,3,0.23649129199475283,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,3,0.17510062500514323,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,3,0.1749807080050232,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,3,0.1761114160035504,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,3,0.1754169580017333,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,ms_bfs_based_rpq,1,3,0.2895077079956536,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,ms_bfs_based_rpq,1,3,0.204007874999661,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,ms_bfs_based_rpq,1,3,0.2895977920052246,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,3,0.20469604199752212,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,3,0.17795958400529344,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,tensor_based_rpq,1,3,0.17639258300187066,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,tensor_based_rpq,1,3,0.1753048749960726,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,tensor_based_rpq,1,3,0.17595954099670053,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,ms_bfs_based_rpq,1,3,0.31875866699556354,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,ms_bfs_based_rpq,1,3,0.21603645800496452,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,ms_bfs_based_rpq,1,3,0.3208806660040864,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,ms_bfs_based_rpq,1,3,0.21738654199725715,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,tensor_based_rpq,1,3,0.17506912499811733,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,tensor_based_rpq,1,3,0.17560700000467477,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,tensor_based_rpq,1,3,0.17444637500011595,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,tensor_based_rpq,1,3,0.17383416600205237,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,ms_bfs_based_rpq,1,3,0.35684370800299803,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,ms_bfs_based_rpq,1,3,0.22608383300394053,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,ms_bfs_based_rpq,1,3,0.3276669159968151,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,ms_bfs_based_rpq,1,3,0.2227645000020857,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,4,0.17562712500512134,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,4,0.17490475000522565,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,4,0.17512008399353363,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,4,0.17532116600341396,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,4,0.33804541699646506,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,4,0.23646120799821801,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,4,0.3386528749979334,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,4,0.23572774999774992,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,4,0.17657437500020023,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,4,0.1755581249963143,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,4,0.1764170419992297,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,4,0.17477970800246112,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,ms_bfs_based_rpq,1,4,0.2869072499961476,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,ms_bfs_based_rpq,1,4,0.20265112500055693,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,ms_bfs_based_rpq,1,4,0.28767141699790955,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,4,0.20329129099991405,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,4,0.17618629099888494,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,tensor_based_rpq,1,4,0.17600345800019568,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,tensor_based_rpq,1,4,0.177266624996264,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,tensor_based_rpq,1,4,0.17616245800309116,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,ms_bfs_based_rpq,1,4,0.31938004099356476,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,ms_bfs_based_rpq,1,4,0.2172822080028709,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,ms_bfs_based_rpq,1,4,0.3181617919981363,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,ms_bfs_based_rpq,1,4,0.21801045799657004,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,tensor_based_rpq,1,4,0.17458349999651546,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,tensor_based_rpq,1,4,0.17476004200580064,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,tensor_based_rpq,1,4,0.17430687500018394,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,tensor_based_rpq,1,4,0.17472929100040346,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,ms_bfs_based_rpq,1,4,0.32912504200066905,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,ms_bfs_based_rpq,1,4,0.22212500000023283,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,ms_bfs_based_rpq,1,4,0.3268125829999917,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,ms_bfs_based_rpq,1,4,0.22263149999344023,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,5,0.176286624999193,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,5,0.1890724999975646,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,5,0.19522699999652104,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,5,0.17479483299393905,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,5,0.33921850000479026,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,5,0.23504099999991013,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,5,0.33802545799699146,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,5,0.2357466250032303,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,5,0.17454754099890124,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,5,0.17577887500374345,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,5,0.17746191599871963,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,5,0.1748832079974818,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,ms_bfs_based_rpq,1,5,0.28973587499785936,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,ms_bfs_based_rpq,1,5,0.20240879199991468,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,ms_bfs_based_rpq,1,5,0.28786229099932825,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,5,0.20297879200370517,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,5,0.17513962499651825,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,tensor_based_rpq,1,5,0.17599991699535167,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,tensor_based_rpq,1,5,0.17801933299779193,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,tensor_based_rpq,1,5,0.17559349999646656,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,ms_bfs_based_rpq,1,5,0.3183224579988746,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,ms_bfs_based_rpq,1,5,0.25429300000541843,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,ms_bfs_based_rpq,1,5,0.3179663749979227,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,ms_bfs_based_rpq,1,5,0.2157589589987765,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,tensor_based_rpq,1,5,0.17494016600539908,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,tensor_based_rpq,1,5,0.17413529199984623,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,tensor_based_rpq,1,5,0.17506787499587517,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,tensor_based_rpq,1,5,0.17396166599792195,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,ms_bfs_based_rpq,1,5,0.3276847910019569,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,ms_bfs_based_rpq,1,5,0.22287720800522948,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,ms_bfs_based_rpq,1,5,0.3268968330012285,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,ms_bfs_based_rpq,1,5,0.22393854099937016,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,6,0.1743687089983723,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,6,0.17990666699915892,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,6,0.17501516699849162,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,6,0.17464704099984374,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,6,0.34082741599559085,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,6,0.23691491699719336,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,6,0.33901925000100164,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,6,0.23741008300567046,0
